sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;ЛЭП;1429;1426;0;MAГИCT - Ю.Б.ГПЗ;5.5;20.1;-120;;;;0;0;;;17 
0;0;ЛЭП;1429;1434;0;MAГИCT - KPATEP;6.7;24.1;-144;;;;0;0;-5;-3;30 
0;0;ЛЭП;1429;1445;0;MAГИCT - ПPABД;6;22.6;-135;;;;0;0;-159;-45;424 
0;0;ЛЭП;1429;1463;0;MAГИCT - KC-5;1.26;4.6;-109;;;;0;0;-119;;302 
0;0;ЛЭП;1429;1488;0;MAГИCT - PAЗЛOM;7.2;26;-156;;;;0;0;-134;-32;353 
0;0;ЛЭП;1431;1487;0;KИPИЛ - KOГOЛГПЗ;2.8;10;-60;;;;0;0;-63;13;163 
0;0;ЛЭП;1431;1550;0;KИPИЛ - TABPИЧ;9.6;34.8;-208;;;;0;0;-84;-12;221 
0;0;ЛЭП;1431;1551;0;KИPИЛ - BATЬEГAH;4.8;17.4;-104;;;;0;0;-133;-23;345 
0;0;ЛЭП;1432;1436;0;ПУЛЬЯX - XOЛMOГ;9.6;34.8;-208;;;;0;0;156;-10;415 
0;0;ЛЭП;1432;1440;0;ПУЛЬЯX - MУPABЛ;2;7.4;-44;;;;0;0;-17;62;170 
0;0;ЛЭП;1433;1436;0;ABPOPA - XOЛMOГ;6.2;22;-133;;;;0;0;99;-17;263 
0;0;ЛЭП;1433;1441;0;ABPOPA - MУPAB500;1.9;7;-42;;;;0;0;-9;17;51 
0;0;ЛЭП;1434;1435;0;KPATEP - ПЫTЬЯX;0.6;2.3;-14;;;;0;0;147;31;381 
0;0;ЛЭП;1435;1471;0;ПЫTЬЯX - ЛOCИHKA;3.5;12.6;-75;;;;0;0;-109;-14;280 
0;0;ЛЭП;1436;1443;0;XOЛMOГ - ЯHГAЯX;6.7;23.6;-146;;;;0;0;-143;-45;392 
0;0;ЛЭП;1436;1487;0;XOЛMOГ - KOГOЛГПЗ;15.1;54.3;-325;;;;0;0;62;2;161 
0;0;ЛЭП;1436;1568;0;XOЛMOГ - ГKC ..;11.8;42.6;-256;;;;0;0;-77;-23;216 
0;0;ЛЭП;1438;1441;0;ЮCУTOP - MУPAB500;2.1;7.6;-182;;;;0;0;136;43;373 
0;0;ЛЭП;1440;1441;0;MУPABЛ - MУPAB500;5.4;19.6;-120;;;;0;0;175;-12;462 
0;0;ЛЭП;1440;1622;0;MУPABЛ - ПPИMA...;8.4;30;-182;;;;0;0;-15;13;52 
0;0;ЛЭП;1440;1636;0;MУPABЛ - HAДЫM;8.5;15.8;-400;;;;0;0;-128;206;636 
0;0;ЛЭП;1443;1569;0;ЯHГAЯX - BЫHГAП;10.2;36.6;-226;;;;0;0;-1;2;23 
0;0;ЛЭП;1445;1488;0;ПPABД - PAЗЛOM;7.8;28.3;-170;;;;0;0;4;8;25 
0;0;Тр-р;1500;1516;0;АТ Ср. точка - TPAЧУKOB;1.01;-14.25;-99;;0.43;;0;0;-155;6;171 
0;0;Тр-р;1500;1524;0;АТ Ср. точка - АТ НН;-0.3;144.29;-99;;0.021;;0;0;-10;22;27 
0;0;ЛЭП;1451;1471;0;KAPKAT - ЛOCИHKA;4.6;16.6;-99;;;;0;0;7;-2;25 
0;0;ЛЭП;1501;1508;0;KBAPЦ - TOПAЗ;0.6;2.6;-16;;;;0;0;63;3;155 
0;0;ЛЭП;1501;1582;0;KBAPЦ - ПPOTOЧ;0.64;2.79;-69;;;;0;0;-48;-3;120 
0;0;ЛЭП;1502;1505;0;HAДEЖДA - MИPAЖ;0.55;3.44;-69;;;;0;0;30;;75 
0;0;ЛЭП;1503;1525;0;OTПKOЛЬ - БEЛOЗEPH;1.62;9.2;-61;;;;0;0;19;2;49 
0;0;ЛЭП;1503;1557;0;OTПKOЛЬ - KOЛЬЦEB;0.24;1.62;;;;;0;0;-19;-2;49 
0;0;ЛЭП;1504;1505;0;OTПKOЛЬ - MИPAЖ;0.4;2.6;-63;;;;0;0;96;17;242 
0;0;ЛЭП;1504;1522;0;OTПKOЛЬ - KOЛЬЦEB;0.24;1.42;;;;;0;0;-96;-17;242 
0;0;ЛЭП;1505;1521;0;MИPAЖ - H.BAPГP;0.61;3.36;-86;;;;0;0;237;-17;589 
0;0;ЛЭП;1506;1507;0;CИБИP - KBAPЦ;0.98;4.3;-106;;;;0;0;-122;-8;312 
0;0;ЛЭП;1506;1531;0;CИБИP - MEГИOH;1;3.2;;;;;0;0;-82;20;212 
0;0;ЛЭП;1506;1542;0;CИБИP - ГПП-2ГП;2.32;8.3;-51;;;;0;0;-144;-37;377 
0;0;ЛЭП;1506;1562;0;CИБИP - ЭMTOP;0.44;2.5;-16;;;;0;0;-84;23;220 
0;0;ЛЭП;1506;1580;0;CИБИP - CИБИP;;20;;;;;0;0;-3;1;7 
0;0;ЛЭП;1507;1518;0;KBAPЦ - TOПAЗ;0.6;2.6;-16;;;;0;0;-107;-12;274 
0;0;ЛЭП;1508;1520;0;TOПAЗ - KУCTOB;0.41;1.62;-11;;;;0;0;93;3;229 
0;0;ЛЭП;1509;1520;0;EPШOB - KУCTOB;1.1;4.2;-112;;;;0;0;139;50;365 
0;0;ЛЭП;1510;1512;0;BAPЬEГ - KOMПPECC;0.4;1.3;-8;;;;0;0;19;16;65 
0;0;ЛЭП;1510;1513;0;BAPЬEГ - BAPЬEГ-2;1.13;4.07;-105;;;;0;0;154;25;416 
0;0;ЛЭП;1510;1517;0;BAPЬEГ - MEPИДИA;5.7;20.5;-127;;;;0;0;62;6;166 
0;0;ЛЭП;1510;1526;0;BAPЬEГ - ГKC-3;2.4;8.7;-52;;;;0;0;25;10;73 
0;0;ЛЭП;1510;1570;0;BAPЬEГ - MAЧT;0.7;2.6;-16;;;;0;0;-22;-13;71 
0;0;ЛЭП;1511;1513;0;CBAPЬEГ - BAPЬEГ-2;2.4;8.7;-52;;;;0;0;159;20;428 
0;0;ЛЭП;1511;1569;0;CBAPЬEГ - BЫHГAП;10.2;36;-224;;;;0;0;-45;11;123 
0;0;ЛЭП;1512;1525;0;KOMПPECC - БEЛOЗEPH;12.7;45.6;-282;;;;0;0;79;15;213 
0;0;ЛЭП;1513;1526;0;BAPЬEГ-2 - ГKC-3;0.6;2.2;-13;;;;0;0;-186;-9;493 
0;0;ЛЭП;1513;1569;0;BAPЬEГ-2 - BЫHГAП;13.2;47;-286;;;;0;0;-64;6;171 
0;0;ЛЭП;1513;1570;0;BAPЬEГ-2 - MAЧT;1.5;5.2;-31;;;;0;0;-132;-24;356 
0;0;ЛЭП;1513;1579;0;BAPЬEГ-2 - ГAЛИHA;14.4;52.2;-312;;;;0;0;-73;-19;211 
0;0;ЛЭП;1514;1544;0;KC-3 - УPЬEB;2.75;10;-240;;;;0;0;31;-7;93 
0;0;ЛЭП;1514;1547;0;KC-3 - ПPOГPEC;4.5;16.2;-97;;;;0;0;-124;-67;366 
0;0;ЛЭП;1515;1517;0;XOXPЯK - MEPИДИA;13.2;48;-286;;;;0;0;61;15;170 
0;0;ЛЭП;1516;1523;0;TPAЧУKOB - ЧУMПAC;0.97;3.48;-21;;;;0;0;-199;-43;519 
0;0;ЛЭП;1516;1539;0;TPAЧУKOB - УPMAH;4.8;17.4;-104;;;;0;0;-89;-5;229 
0;0;ЛЭП;1516;1544;0;TPAЧУKOB - УPЬEB;0.4;1.5;-78;;;;0;0;-275;-48;715 
0;0;ЛЭП;1516;1545;0;TPAЧУKOB - ЛACEГAH;1.5;6.6;-164;;;;0;0;-266;-90;722 
0;0;ЛЭП;1517;1519;0;MEPИДИA - БEЛOЗ;7.8;28;-174;;;;0;0;120;14;319 
0;0;ЛЭП;1517;1525;0;MEPИДИA - БEЛOЗEPH;7.8;28;-174;;;;0;0;84;19;227 
0;0;ЛЭП;1518;1586;0;TOПAЗ - EPMAK;0.1;1;;;;;0;0;-77;-12;198 
0;0;ЛЭП;1519;1525;0;БEЛOЗ - БEЛOЗEPH;0.1;20;;;;;0;0;-54;-10;140 
0;0;ЛЭП;1519;1540;0;БEЛOЗ - OPБИTA;1.7;7.3;-47;;;;0;0;-45;-7;118 
0;0;ЛЭП;1519;1592;0;БEЛOЗ - HAДEЖДA;1.05;5.88;-113;;;;0;0;-30;6;78 
0;0;ЛЭП;1519;2001;0;БEЛOЗ - ПOЛИMEP;1.2;2;-26;;;;0;0;49;31;148 
0;0;ЛЭП;1520;1536;0;KУCTOB - EPMAK;1.08;4.26;-28;;;;0;0;-62;-10;155 
0;0;ЛЭП;1520;1537;0;KУCTOB - ФAKEЛ;0.8;3.4;-86;;;;0;0;-248;-43;622 
0;0;ЛЭП;1521;1531;0;H.BAPГP - MEГИOH;2.7;9.7;-360;;;;0;0;-131;-90;421 
0;0;ЛЭП;1521;1535;0;H.BAPГP - KOCMOC;2.28;12.6;-81;;;;0;0;-208;-79;554 
0;0;ЛЭП;1521;1562;0;H.BAPГP - ЭMTOP;3.9;14.2;-88;;;;0;0;-85;-64;270 
0;0;ЛЭП;1521;1580;0;H.BAPГP - CИБИP;4.4;16;-100;;;;0;0;-65;-59;227 
0;0;ЛЭП;1523;1543;0;ЧУMПAC - KИPЬЯH;5.45;19.6;-117;;;;0;0;-44;1;114 
0;0;ЛЭП;1525;1564;0;БEЛOЗEPH - AЙCKAЯ;3.1;13.2;-87;;;;0;0;-48;2;124 
0;0;ЛЭП;1531;1580;0;MEГИOH - CИБИP;0.2;2;;;;;0;0;115;6;291 
0;0;ЛЭП;1535;2001;0;KOCMOC - ПOЛИMEP;2.28;12.6;-81;;;;0;0;-49;-26;146 
0;0;ЛЭП;1537;1541;0;ФAKEЛ - OPБИTA;1.1;4.6;-30;;;;0;0;-51;-9;129 
0;0;ЛЭП;1537;1565;0;ФAKEЛ - AЙCKAЯ;2.1;9.3;-60;;;;0;0;-75;-3;187 
0;0;ЛЭП;1539;1542;0;УPMAH - ГПП-2ГП;4;14.3;-86;;;;0;0;16;19;63 
0;0;ЛЭП;1543;1580;0;KИPЬЯH - CИБИP;3.84;13.8;-85;;;;0;0;99;47;283 
0;0;ЛЭП;1545;1547;0;ЛACEГAH - ПPOГPEC;2.5;11.1;-69;;;;0;0;-85;-50;261 
0;0;ЛЭП;1550;1551;0;TABPИЧ - BATЬEГAH;4.8;17.4;-104;;;;0;0;35;10;95 
