sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;ЛЭП;60301026;60301147;0;Отпайка ПС 220 кВ Жирекен   - ПС 220 кВ Жирекен  ;0.22;0.98;-6.3;;;;0;0;3;1;8 
0;0;ЛЭП;60301106;60301097;0;ПС 220 кВ Шапка   - ПС 220 кВ Холбон  ;7.15;30.77;-195.7;;;;0;0;57;-2;140 
0;0;ЛЭП;60301066;60301099;0;ПС 220 кВ Приисковая   - ПС 220 кВ Холбон  ;3.04;13.09;-83.3;;;;0;0;65;3;158 
0;0;ЛЭП;60301036;60301087;0;ПС 220 кВ Ксеньевская   - ПС 220 кВ Урюм  ;6.98;30.07;-191.3;;;;0;0;23;-2;65 
0;0;ЛЭП;60301071;60301105;0;ПС 220 кВ Семиозернный   - ПС 220 кВ Чичатка  ;8.55;36.82;-234.2;;;;0;0;11;-29;106 
0;0;ЛЭП;60301071;60301044;0;ПС 220 кВ Семиозернный   - ПС 220 кВ Могоча 3-4 cш 220 кВ  ;4.41;19;-120.8;;;;0;0;8;42;109 
0;0;ЛЭП;60301032;60301070;0;ПС 220 кВ Кислый Ключ   - ПС 220 кВ Сбега  ;6.7;28.86;-183.6;;;;0;0;19;-2;54 
0;0;ЛЭП;60301101;60301066;0;ПС 220 кВ Чернышевск   - ПС 220 кВ Приисковая  ;9.34;40.22;-255.8;;;;0;0;52;1;129 
0;0;ЛЭП;60301043;60301063;0;ПС 220 кВ Могоча 1-2 сш 220 кВ   - ПС 220 кВ Пеньковая  ;3.44;14.82;-94.3;;;;0;0;7;-1;24 
0;0;ЛЭП;60301043;60301032;0;ПС 220 кВ Могоча 1-2 сш 220 кВ   - ПС 220 кВ Кислый Ключ  ;6.19;26.68;-169.7;;;;0;0;10;2;30 
0;0;ЛЭП;60301006;60301044;0;ПС 220 кВ Амазар   - ПС 220 кВ Могоча 3-4 cш 220 кВ  ;8.36;36.02;-229.1;;;;0;0;-9;36;95 
0;0;ЛЭП;60301063;60301036;0;ПС 220 кВ Пеньковая   - ПС 220 кВ Ксеньевская  ;5.91;25.43;-161.7;;;;0;0;16;-1;45 
0;0;ЛЭП;60301087;60301029;0;ПС 220 кВ Урюм   - ПС 220 кВ Зилово  ;4.55;19.62;-124.8;;;;0;0;32;-4;83 
0;0;ЛЭП;60301070;60301028;0;ПС 220 кВ Сбега   - ПС 220 кВ Зилово  ;7.99;34.42;-218.9;;;;0;0;30;-3;82 
0;0;ЛЭП;60301027;60301016;0;Отпайка ПС 220 кВ Жирекен   - ПС 220 кВ Бушулей  ;1.12;4.84;-30.8;;;;0;0;37;-10;95 
0;0;ЛЭП;60301028;60301027;0;ПС 220 кВ Зилово   - Отпайка ПС 220 кВ Жирекен  ;3.23;13.92;-88.5;;;;0;0;41;-4;101 
0;0;ЛЭП;60301027;60301146;0;Отпайка ПС 220 кВ Жирекен   - ПС 220 кВ Жирекен  ;0.23;0.99;-6.3;;;;0;0;4;2;10 
0;0;ЛЭП;60301025;60301103;0;ПС 220 кВ Жирекен   - ПС 110 кВ Чернышевск  ;10.61;18.19;-113.3;;;;0;0;14;-1;67 
0;0;ЛЭП;60301053;60301055;0;ПС 110 кВ Нерчинск   - ПС 110 кВ Нерчинск  ;0.58;1.23;-7.9;;;;0;0;2;1;9 
0;0;ЛЭП;60301055;60301098;0;ПС 110 кВ Нерчинск   - ПС 220 кВ Холбон  ;6.06;12.86;-82.7;;;;0;0;10;-3;54 
0;0;ЛЭП;60301102;60301055;0;ПС 110 кВ Чернышевск   - ПС 110 кВ Нерчинск  ;16.51;35.02;-225.1;;;;0;0;9;-1;46 
0;0;ЛЭП;60301056;60301098;0;ПС 110 кВ Нерчинск   - ПС 220 кВ Холбон  ;6.06;12.86;-82.7;;;;0;0;11;-3;57 
0;0;ЛЭП;60301054;60301056;0;ПС 110 кВ Нерчинск   - ПС 110 кВ Нерчинск  ;0.58;1.23;-7.9;;;;0;0;3;1;15 
0;0;ЛЭП;60301103;60301056;0;ПС 110 кВ Чернышевск   - ПС 110 кВ Нерчинск  ;16.51;35.02;-225.1;;;;0;0;8;-1;45 
0;0;ЛЭП;60301100;60301065;0;ПС 220 кВ Холбон   - Первомайская ТЭЦ  ;16.04;22.75;-136.8;;;;0;0;;2;9 
0;0;ЛЭП;60301018;60301037;0;ПС 110 кВ Давенда   - ПС 110 кВ Ксеньевская  ;13.75;19.5;-117.2;;;;0;0;5;2;29 
0;0;ЛЭП;60301004;60301024;0;ПС 110 кВ Аксеново Зилово   - ПС 220 кВ Жирекен  ;10.56;18.1;-112.8;;;;0;0;6;-3;38 
0;1;ЛЭП;60301047;60301018;0;ПС 220 кВ Могоча   - ПС 110 кВ Давенда  ;12.61;17.89;-107.6;;;;0;0;;; 
0;0;ЛЭП;60301037;60301004;0;ПС 110 кВ Ксеньевская   - ПС 110 кВ Аксеново Зилово  ;27.98;47.98;-298.9;;;;0;0;6;;33 
0;1;Выкл;1221;1222;0;ПС 110 кВ Дмитриевка 1С 110 - ПС 110 кВ Дмитриевка 2С 110;;;;;;;0;0;;; 
0;0;ЛЭП;3626;3414;0;Свободненская ТЭС 3 СШ 220 кВ и 4 СШ 220 кВ - ПС 220 кВ Новокиевка;9.89;38.92;-249.5;;;;0;0;-44;19;116 
0;0;Выкл;3321;3322;0;Благовещенская ТЭЦ - Благовещенская ТЭЦ 2СШ-110 кВ;;;;;;;0;0;30;12;158 
0;0;Выкл;2521;2522;0;ПС 500 кВ Хабаровская 1СШ 220 кВ - ПС 500 кВ Хабаровская 2СШ 220 кВ;;;;;;;0;0;;-22;55 
0;1;Выкл;2525;2521;0;ПС 500 кВ Хабаровская УШР-220 - ПС 500 кВ Хабаровская 1СШ 220 кВ;;;;;;;0;0;;; 
