sel;sta;tip;ip;iq;np;name;r;x;b;g;ktr;kti;n_anc;bd;pl_ip;ql_ip;i_max 
0;0;Выкл;3701;37;0;СШ2 ПС1 220 кВ - Пс-1-220    ;;;;;;;0;0;;;1 
0;0;Выкл;30;3003;0;Шины-220     - Пр1 ЭС 220 кВ;;;;;;;0;0;193;53;494 
0;1;Выкл;3003;3002;0;Пр1 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;1;Выкл;3004;3002;0;Пр2 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3004;3001;0;Пр2 ЭС 220 кВ - СШ2 ЭС 220 кВ;;;;;;;0;0;-193;-54;494 
0;1;Выкл;3005;3002;0;Пр3 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3005;30;0;Пр3 ЭС 220 кВ - Шины-220    ;;;;;;;0;0;331;99;850 
0;0;Выкл;3006;3001;0;Пр4 ЭС 220 кВ - СШ2 ЭС 220 кВ;;;;;;;0;0;331;99;851 
0;1;Выкл;3006;3002;0;Пр4 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;1;Выкл;3007;3002;0;Пр5 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3007;3001;0;Пр5 ЭС 220 кВ - СШ2 ЭС 220 кВ;;;;;;;0;0;-193;-54;494 
0;1;Выкл;3008;3002;0;Пр6 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3008;30;0;Пр6 ЭС 220 кВ - Шины-220    ;;;;;;;0;0;56;7;139 
0;1;Выкл;3009;3002;0;Пр7 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3009;3001;0;Пр7 ЭС 220 кВ - СШ2 ЭС 220 кВ;;;;;;;0;0;56;7;139 
0;1;Выкл;3010;3002;0;Пр8 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3010;30;0;Пр8 ЭС 220 кВ - Шины-220    ;;;;;;;0;0;-193;-54;494 
0;0;Выкл;3001;30;0;СШ2 ЭС 220 кВ - Шины-220    ;;;;;;;0;0;;;1 
0;1;Выкл;3011;3002;0;Пр9 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;1;Выкл;3011;30;0;Пр9 ЭС 220 кВ - Шины-220    ;;;;;;;0;0;;; 
0;1;Выкл;3011;3001;0;Пр9 ЭС 220 кВ - СШ2 ЭС 220 кВ;;;;;;;0;0;;; 
0;1;Выкл;3012;3002;0;Пр10 ЭС 220 кВ - ОСШ ЭС 220 кВ;;;;;;;0;0;;; 
0;0;Выкл;3012;3001;0;Пр10 ЭС 220 кВ - СШ2 ЭС 220 кВ;;;;;;;0;0;;;1 
0;0;Тр-р;3012;26;0;Пр10 ЭС 220 кВ - Рез-Тсн     ;3.87;23.45;3.8;0.9;1;;0;0;;;1 
